semantic_threshold,noise_floor,precision,recall,f1,tp,fp,fn
0.55,0.4,0.283,0.922,0.433,8018,20293,674
0.55,0.45,0.292,0.922,0.444,8018,19447,674
0.55,0.5,0.316,0.922,0.47,8018,17373,674
0.55,0.55,0.382,0.922,0.54,8018,12963,674
0.55,0.6,0.478,0.919,0.629,7696,8403,674
0.6,0.4,0.272,0.919,0.42,7696,20615,674
0.6,0.45,0.28,0.919,0.43,7696,19769,674
0.6,0.5,0.303,0.919,0.456,7696,17695,674
0.6,0.55,0.367,0.919,0.524,7696,13285,674
0.6,0.6,0.478,0.919,0.629,7696,8403,674
0.65,0.4,0.238,0.909,0.378,6745,21566,674
0.65,0.45,0.246,0.909,0.387,6745,20720,674
0.65,0.5,0.266,0.909,0.411,6745,18646,674
0.65,0.55,0.321,0.909,0.475,6745,14236,674
0.65,0.6,0.419,0.909,0.574,6745,9354,674
0.7,0.4,0.18,0.883,0.299,5098,23213,674
0.7,0.45,0.186,0.883,0.307,5098,22367,674
0.7,0.5,0.201,0.883,0.327,5098,20293,674
0.7,0.55,0.243,0.883,0.381,5098,15883,674
0.7,0.6,0.317,0.883,0.466,5098,11001,674
0.75,0.4,0.108,0.82,0.191,3064,25247,674
0.75,0.45,0.112,0.82,0.196,3064,24401,674
0.75,0.5,0.121,0.82,0.21,3064,22327,674
0.75,0.55,0.146,0.82,0.248,3064,17917,674
0.75,0.6,0.19,0.82,0.309,3064,13035,674
0.8,0.4,0.044,0.646,0.082,1232,27079,674
0.8,0.45,0.045,0.646,0.084,1232,26233,674
0.8,0.5,0.049,0.646,0.09,1232,24159,674
0.8,0.55,0.059,0.646,0.108,1232,19749,674
0.8,0.6,0.077,0.646,0.137,1232,14867,674
